ID Cliente,TipoDeCliente,RubroEmpresa,Antiguedad,Edad,Genero,MesesTransaccionados,Encomiendas,Documentos,EncomiendasValor,DocumentosValor,MontoTotal,MesesUltimaTransaccion,ValorAdeudado,NivelDeServicio
1,Empresa,Retail,34.0,,,28,27468,0,69219360,0,69219360,9,0.0,84.92050278119653
2,Persona,,,76.0,Masculino,24,0,0,0,0,0,7,0.0,88.27150216315286
3,Empresa,Servicios Financieros,16.0,,,44,15488,10164,139376512,26670336,166046848,4,0.0,93.29800123608734
4,Persona,,,41.0,Femenino,11,0,11,0,36674,36674,6,0.0,89.94700185413102
5,Persona,,,19.0,Masculino,18,36,0,234576,0,234576,3,0.0,94.97350092706552
6,Persona,,,37.0,Masculino,24,24,24,232632,84960,317592,2,0.0,96.64900061804367
7,Persona,,,65.0,Femenino,10,0,10,0,27340,27340,6,0.0,89.94700185413102
8,Persona,,,26.0,Femenino,6,0,18,0,38286,38286,5,0.0,91.62250154510919
9,Persona,,,34.0,Masculino,19,19,19,105621,80522,186143,2,0.0,96.64900061804367
10,Persona,,,51.0,Femenino,13,13,26,127972,84682,212654,12,0.0,79.89400370826203
11,Persona,,,71.0,Femenino,8,16,16,69264,29568,98832,2,0.0,96.64900061804367
12,Persona,,,25.0,Femenino,13,26,0,168246,0,168246,10,0.0,83.24500309021836
13,Persona,,,61.0,Masculino,2,0,0,0,0,0,2,0.0,96.64900061804367
14,Persona,,,27.0,Femenino,1,1,1,2960,2342,5302,1,0.0,98.32450030902184
15,Persona,,,20.0,Masculino,15,0,15,0,62730,62730,7,0.0,88.27150216315286
16,Persona,,,24.0,Femenino,23,69,0,303738,0,303738,9,0.0,84.92050278119653
17,Persona,,,21.0,Masculino,15,0,30,0,127380,127380,8,0.0,86.59600247217469
18,Persona,,,65.0,Masculino,11,11,0,83732,0,83732,2,0.0,96.64900061804367
19,Persona,,,53.0,Masculino,4,4,4,9592,10008,19600,4,0.0,93.29800123608734
20,Persona,,,23.0,Masculino,3,0,6,0,17862,17862,3,0.0,94.97350092706552
21,Persona,,,18.0,Masculino,7,7,0,36785,0,36785,4,0.0,93.29800123608734
22,Persona,,,28.0,Masculino,3,3,0,20445,0,20445,1,0.0,98.32450030902184
23,Persona,,,29.0,Femenino,2,4,4,37832,12144,49976,1,0.0,98.32450030902184
24,Persona,,,64.0,Masculino,8,8,0,30168,0,30168,4,0.0,93.29800123608734
25,Empresa,Retail,18.0,,,42,42420,42,320992140,71442,321063582,11,0.0,81.5695033992402
