user;size;artist_id;artist
1;16;1;red hot chili peppers
1;16;2;the black dahlia murder
1;16;3;goldfrapp
1;16;4;dropkick murphys
1;16;5;le tigre
1;16;6;schandmaul
1;16;7;edguy
1;16;8;jack johnson
1;16;9;eluveitie
1;16;10;the killers
1;16;11;judas priest
1;16;12;rob zombie
1;16;13;john mayer
1;16;14;the who
1;16;15;guano apes
1;16;16;the rolling stones
2;29;1;devendra banhart
2;29;2;boards of canada
2;29;3;cocorosie
2;29;4;aphex twin
2;29;5;animal collective
2;29;6;atmosphere
2;29;7;joanna newsom
2;29;8;air
2;29;9;portishead
2;29;10;massive attack
2;29;11;broken social scene
2;29;12;arcade fire
2;29;13;plaid
2;29;14;prefuse 73
2;29;15;m83
2;29;16;the flashbulb
2;29;17;pavement
2;29;18;goldfrapp
2;29;19;amon tobin
2;29;20;sage francis
2;29;21;four tet
2;29;22;max richter
2;29;23;autechre
2;29;24;radiohead
2;29;25;neutral milk hotel
2;29;26;beastie boys
2;29;27;aesop rock
2;29;28;mf doom
2;29;29;the books
3;27;1;tv on the radio
3;27;2;tool
3;27;3;kyuss
3;27;4;dj shadow
3;27;5;air
3;27;6;a tribe called quest
3;27;7;the cinematic orchestra
3;27;8;beck
3;27;9;bon iver
3;27;10;royksopp
3;27;11;bonobo
3;27;12;the decemberists
3;27;13;snow patrol
3;27;14;battles
3;27;15;the prodigy
3;27;16;pink floyd
3;27;17;rjd2
3;27;18;the flaming lips
3;27;19;michael jackson
3;27;20;mgmt
3;27;21;the rolling stones
3;27;22;late of the pier
3;27;23;flight of the conchords
3;27;24;simian mobile disco
3;27;25;muse
3;27;26;fleetwood mac
3;27;27;led zeppelin
4;11;1;dream theater
4;11;2;ac/dc
4;11;3;metallica
4;11;4;iron maiden
4;11;5;bob marley & the wailers
4;11;6;megadeth
4;11;7;children of bodom
4;11;8;trivium
4;11;9;nightwish
4;11;10;sublime
4;11;11;volbeat
5;23;1;lily allen
5;23;2;kanye west
5;23;3;sigur ros
5;23;4;pink floyd
5;23;5;stevie wonder
5;23;6;metallica
5;23;7;thievery corporation
5;23;8;iron maiden
5;23;9;the streets
5;23;10;muse
5;23;11;faith no more
5;23;12;manu chao
5;23;13;tenacious d
5;23;14;depeche mode
5;23;15;justin timberlake
5;23;16;green day
5;23;17;snow patrol
5;23;18;dream theater
5;23;19;u2
