CustomerID,Age,Gender,Income,Tenure,Mobile,Mobile_Spending,interne,Internet_Spending,TV,TV_Spending,Aditional_service,Adicional_service_spending,NumServices,TotalSpend,SolicitudesSAC,reclamosSAC,ChurnRisk
1,56.0,Male,1754087.0,8.0,1,22485.0,1,12317.0,0,16716.0,1,9018.83,3,16263.07,366.0,69.0,0.685
2,69.0,Female,1993415.0,6.0,1,13165.0,1,14550.0,1,9754.0,1,22637.23,2,18477.77,425.0,61.0,0.705
3,46.0,Male,1825742.0,1.0,0,0.0,0,0.0,1,20371.0,1,16531.56,1,39332.51,276.0,55.0,0.7949999999999999
4,32.0,Female,1699011.0,4.0,0,0.0,1,21919.0,0,16992.0,0,0.0,2,24586.78,84.0,10.0,0.5067765891046901
5,60.0,Female,2537837.0,6.0,0,0.0,1,32118.0,0,15390.0,0,0.0,1,48356.48,182.0,27.0,0.52
6,25.0,Male,1538223.0,13.0,0,0.0,0,0.0,0,6479.0,0,0.0,2,14857.57,138.0,18.0,0.36257975619116195
7,38.0,Male,1975246.0,10.0,1,16782.0,1,17875.0,0,14232.0,1,23365.29,4,41568.35,128.0,19.0,0.86
8,56.0,Female,2026389.0,1.0,0,0.0,1,25055.0,1,15978.0,0,0.0,1,28193.29,226.0,28.0,0.8400000000000001
9,36.0,Female,1990085.0,10.0,1,20418.0,1,14244.0,1,15723.0,1,14109.45,1,23732.72,228.0,33.0,0.915
10,40.0,Female,1905287.0,5.0,0,0.0,1,23894.0,0,19814.0,1,13152.45,4,38574.61,102.0,15.0,0.995
11,28.0,Female,2484303.0,3.0,0,0.0,1,14132.0,1,28300.0,1,15991.42,1,23372.1,126.0,21.0,0.6799999999999999
12,28.0,Female,1366436.0,7.0,1,19702.0,0,0.0,1,9795.0,1,11112.9,3,22459.39,4.0,1.0,0.4631624632970376
13,41.0,Male,2130936.0,13.0,0,0.0,0,0.0,1,10881.0,0,0.0,3,31364.78,20.0,2.0,0.7683928301065324
14,53.0,Female,2144300.0,8.0,0,0.0,0,0.0,1,14465.0,1,9250.48,2,44360.48,80.0,10.0,0.52
15,57.0,Female,2086097.0,3.0,1,21395.0,0,0.0,0,19451.0,1,21915.34,2,39600.56,171.0,19.0,0.59
16,41.0,Male,1750747.0,10.0,0,0.0,1,22152.0,1,14594.0,0,0.0,2,40605.72,168.0,20.0,0.98
17,20.0,Male,2361509.0,3.0,0,0.0,1,14744.0,1,10659.0,1,25781.99,1,48282.98,83.0,16.0,0.95
18,39.0,Male,2346494.0,14.0,0,0.0,1,35953.0,1,12814.0,1,18260.8,1,35809.95,46.0,5.0,0.3995015329461747
19,19.0,Female,1740173.0,11.0,1,17819.0,1,17241.0,1,15976.0,1,17721.87,2,19872.84,134.0,17.0,0.925
20,41.0,Male,1640635.0,3.0,1,15576.0,1,22626.0,1,15120.0,0,0.0,4,25979.54,42.0,7.0,0.585
21,61.0,Male,1582669.0,14.0,0,0.0,0,0.0,0,13502.0,1,12797.39,4,17593.99,0.0,0.0,0.45
22,47.0,Male,2067622.0,11.0,0,0.0,1,31275.0,0,12629.0,0,0.0,1,21136.38,122.0,15.0,0.4688830917401352
23,55.0,Male,2014035.0,6.0,0,0.0,1,20793.0,0,10276.0,0,0.0,1,18421.68,252.0,47.0,0.63
24,19.0,Female,1891668.0,6.0,1,13096.0,1,14899.0,1,10605.0,0,0.0,1,32856.87,98.0,10.0,0.9199999999999999
25,38.0,Female,2624395.0,3.0,0,0.0,0,0.0,0,26397.0,0,0.0,4,46635.87,114.0,15.0,0.625
26,50.0,Female,1861675.0,6.0,1,9431.0,1,16303.0,0,14157.0,0,0.0,3,35846.94,237.0,47.0,0.64
27,29.0,Male,2056250.0,9.0,1,23892.0,0,0.0,0,13464.0,0,0.0,2,47526.36,118.0,17.0,0.77
28,39.0,Male,1941708.0,11.0,0,0.0,0,0.0,0,9498.0,1,15697.7,4,45725.98,195.0,35.0,0.765
29,61.0,Male,2588935.0,8.0,1,16814.0,1,20536.0,0,17776.0,1,28977.97,2,36277.98,373.0,65.0,0.675
30,42.0,Male,1403100.0,11.0,1,11505.0,1,20234.0,1,9906.0,0,0.0,3,26569.94,118.0,23.0,0.8
31,66.0,Male,1907027.0,13.0,1,19053.0,0,0.0,1,20332.0,0,0.0,2,30580.09,435.0,69.0,0.61
32,44.0,Male,2184277.0,13.0,1,21917.0,0,0.0,1,24197.0,1,15851.19,1,45603.98,220.0,38.0,0.63
33,59.0,Female,1933284.0,7.0,1,16765.0,1,30704.0,1,19919.0,1,11961.78,1,39195.97,336.0,39.0,0.675
34,45.0,Female,1608700.0,7.0,0,0.0,1,23190.0,0,10991.0,1,14659.03,2,18644.88,47.0,5.0,0.74
35,33.0,Male,2052979.0,8.0,1,19038.0,0,0.0,0,16727.0,1,18310.77,2,23060.97,154.0,30.0,0.8300000000000001
36,32.0,Female,1513603.0,7.0,1,20020.0,0,0.0,0,15616.0,0,0.0,1,15493.6,83.0,10.0,0.26615295827454405
37,64.0,Male,2201070.0,13.0,1,11657.0,1,16736.0,0,9320.0,1,23589.06,1,22849.24,224.0,44.0,0.77
38,68.0,Male,1876021.0,3.0,1,25665.0,1,24496.0,1,14905.0,1,10035.31,2,23324.05,244.0,38.0,0.975
39,61.0,Female,1825558.0,8.0,1,13581.0,0,0.0,1,12619.0,0,0.0,2,25852.29,398.0,75.0,0.595
40,69.0,Male,2313847.0,8.0,0,0.0,0,0.0,1,15681.0,1,11158.42,1,43228.84,380.0,55.0,0.58
41,20.0,Female,1699033.0,13.0,0,0.0,0,0.0,1,11110.0,1,16703.24,3,35283.48,100.0,10.0,0.7949999999999999
42,54.0,Male,1537260.0,1.0,1,12211.0,0,0.0,1,13486.0,1,16671.83,4,16378.32,382.0,68.0,0.98
43,68.0,Male,1726855.0,10.0,0,0.0,1,9867.0,1,12185.0,0,0.0,3,21659.42,408.0,47.0,0.875
44,24.0,Female,2614100.0,5.0,1,33170.0,1,26860.0,0,16533.0,0,0.0,1,47562.99,9.0,1.0,0.5482053094674542
45,38.0,Male,1698894.0,14.0,0,0.0,1,26740.0,0,13935.0,1,16023.54,4,35624.87,174.0,22.0,0.895
46,26.0,Male,2109657.0,5.0,0,0.0,0,0.0,0,14169.0,1,21788.05,4,46434.4,104.0,18.0,0.66
47,56.0,Male,2253006.0,1.0,1,12591.0,1,27119.0,0,9267.0,0,0.0,4,33173.56,367.0,51.0,0.665
48,35.0,Female,1718075.0,6.0,1,24465.0,1,15529.0,0,12127.0,1,15505.37,1,27088.25,64.0,12.0,0.26807682883318606
49,21.0,Male,1718464.0,14.0,1,23146.0,0,0.0,1,9202.0,0,0.0,1,33736.18,152.0,23.0,0.7949999999999999
50,42.0,Male,2054048.0,6.0,1,18445.0,0,0.0,0,9479.0,1,10424.94,4,26638.98,232.0,25.0,0.5
51,31.0,Male,2067597.0,14.0,0,0.0,0,0.0,1,21831.0,1,17067.18,4,20073.75,108.0,16.0,0.20741351050650647
52,67.0,Female,2404285.0,12.0,1,19554.0,0,0.0,1,22042.0,1,18454.53,4,37795.85,270.0,53.0,0.87
53,26.0,Female,1769231.0,4.0,0,0.0,0,0.0,1,11988.0,0,0.0,4,43807.18,143.0,19.0,0.53
54,43.0,Female,1886824.0,6.0,1,19183.0,1,19362.0,1,21557.0,1,22868.22,4,27470.27,52.0,6.0,0.875
55,19.0,Female,2851519.0,14.0,1,27396.0,0,0.0,0,19022.0,0,0.0,3,37940.67,138.0,25.0,0.645
56,37.0,Female,1462212.0,6.0,0,0.0,1,23137.0,1,8374.0,1,12901.04,3,32230.55,5.0,1.0,0.492388329436186
57,45.0,Male,1400694.0,1.0,1,20526.0,1,12795.0,1,10489.0,1,16859.52,3,33106.09,68.0,13.0,0.815
58,64.0,Female,1585088.0,5.0,1,21199.0,0,0.0,1,17626.0,1,10015.17,3,33834.16,423.0,52.0,0.885
59,24.0,Female,2330482.0,2.0,0,0.0,1,35489.0,1,20867.0,1,25082.04,4,39761.45,160.0,17.0,0.73
60,61.0,Male,1868515.0,14.0,0,0.0,0,0.0,1,17688.0,1,22564.8,2,43236.4,427.0,65.0,0.925
61,25.0,Female,1868406.0,7.0,1,14753.0,1,28512.0,1,9562.0,0,0.0,3,33938.82,66.0,11.0,0.65
62,64.0,Male,1710433.0,13.0,0,0.0,1,23192.0,1,7107.0,1,11438.41,1,22670.64,229.0,25.0,0.64
63,52.0,Female,2275525.0,9.0,1,30634.0,1,17540.0,1,18154.0,0,0.0,4,54494.89,54.0,10.0,0.037815439080536854
64,31.0,Male,1589734.0,9.0,0,0.0,0,0.0,0,10154.0,0,0.0,3,30651.71,31.0,5.0,0.605
65,34.0,Male,1825549.0,14.0,1,14037.0,1,20528.0,0,7620.0,1,13365.09,4,19277.55,20.0,2.0,0.665
66,53.0,Female,1722307.0,11.0,0,0.0,1,16017.0,0,18497.0,1,18339.63,4,23990.46,30.0,3.0,0.5276053502842498
67,67.0,Female,1198318.0,9.0,0,0.0,1,19376.0,1,4840.0,1,7382.35,1,23161.62,172.0,30.0,0.565
