order,product,seller,customer,city,state,category,price,shipping,payment,purchased,delivered,estimated_delivery,rating
0,0,0,0,unknown,SP,health,223.51,84.65,credit card,2017-10-22 18:57:54,2017-10-26 22:19:52,2017-11-09 12:00:00,1.0
1,1,1,1,unknown,RJ,health,170.8,23.79,credit card,2018-06-20 21:40:31,2018-07-03 22:51:22,2018-07-24 12:00:00,4.5
2,2,2,2,unknown,SP,technology,64.4,17.38,credit card,2018-02-16 16:19:31,2018-02-27 01:29:50,2018-03-08 12:00:00,3.5
3,1,3,3,uberlandia,MG,technology,264.5,30.72,credit card,2018-08-18 18:04:29,2018-08-27 20:03:51,2018-09-19 12:00:00,3.0
4,3,4,4,unknown,SP,technology,779.9,30.66,credit card,2017-12-22 16:44:04,2018-01-05 19:22:49,2018-01-18 12:00:00,2.5
5,4,5,5,guarulhos,SP,health,966.9,98.76,credit card,2018-04-23 21:03:00,2018-04-25 20:14:38,2018-05-04 12:00:00,3.5
6,1,6,6,unknown,SP,fashion,1534.9,66.9,credit card,2018-02-23 14:49:39,2018-04-02 14:12:50,2018-03-15 12:00:00,1.0
7,1,7,7,unknown,SP,fashion,779.0,34.86,other,2017-11-24 19:12:37,2017-12-11 13:09:32,2017-12-14 12:00:00,2.5
8,4,6,8,sao paulo,SP,fashion,95.03,60.35,credit card,2017-11-30 11:48:21,2017-12-14 16:38:47,2018-01-03 12:00:00,2.5
9,5,5,9,unknown,RJ,technology,135.91,48.71,credit card,2018-04-02 22:39:59,2018-04-13 18:12:30,2018-04-23 12:00:00,4.5
10,6,5,10,sao goncalo,RJ,health,28.82,16.92,credit card,2018-04-10 00:17:56,2018-04-20 18:03:58,2018-05-04 12:00:00,4.0
11,1,8,11,unknown,SP,technology,222.98,31.89,credit card,2018-05-02 22:52:10,2018-05-09 23:48:32,2018-05-18 12:00:00,2.5
12,6,9,12,unknown,RJ,technology,83.36,6.87,credit card,2018-06-15 15:44:21,2018-06-25 22:27:56,2018-07-11 12:00:00,4.5
13,7,10,13,sao paulo,SP,fashion,185.6,21.82,credit card,2018-03-15 11:13:23,2018-04-09 18:54:36,2018-04-03 12:00:00,2.0
14,8,3,14,sao paulo,SP,toys,318.33,27.57,credit card,2018-04-02 00:31:04,2018-04-06 20:53:33,2018-04-18 12:00:00,3.0
15,5,8,15,unknown,SP,toys,3.49,30.66,other,2017-08-16 19:36:38,2017-08-24 21:47:56,2017-09-05 12:00:00,1.0
16,9,11,16,sao paulo,SP,toys,109.82,50.83,other,2017-06-21 16:41:10,2017-06-29 12:43:45,2017-07-04 12:00:00,2.0
17,7,6,17,unknown,RS,health,100.0,6.79,credit card,2018-06-30 21:08:36,2018-07-11 17:56:33,2018-08-03 12:00:00,4.5
18,7,1,18,belo horizonte,MG,health,692.0,11.36,other,2017-03-07 19:19:19,2017-03-21 10:41:53,2017-04-03 12:00:00,4.0
19,1,12,19,sao paulo,SP,fashion,295.0,110.14,credit card,2018-07-10 12:15:42,2018-07-15 16:13:38,2018-07-18 12:00:00,3.5
20,10,13,20,unknown,MG,fashion,186.98,17.44,credit card,2018-02-03 17:08:22,2018-03-06 07:14:36,2018-03-13 12:00:00,4.5
21,6,3,21,sao paulo,SP,health,692.0,2.75,credit card,2017-09-05 13:32:39,2017-09-13 16:54:10,2017-09-29 12:00:00,4.0
22,11,14,22,sao paulo,SP,fashion,17.6,68.69,credit card,2018-03-15 15:20:17,2018-03-24 15:34:51,2018-03-27 12:00:00,1.0
23,4,15,23,unknown,RJ,fashion,37.84,56.27,credit card,2017-05-16 09:23:23,2017-05-31 08:38:03,2017-06-07 12:00:00,1.0
24,6,3,24,unknown,MG,sports,50.21,161.82,other,2017-08-05 18:13:21,2017-08-17 17:05:57,2017-08-25 12:00:00,1.0
25,4,3,25,sao paulo,SP,fashion,676.97,39.12,other,2017-09-05 14:56:58,2017-09-14 20:05:01,2017-09-18 12:00:00,2.0
26,8,16,26,unknown,SP,toys,223.87,31.01,other,2018-05-07 22:34:11,2018-05-11 22:48:43,2018-05-21 12:00:00,1.0
27,9,9,27,sao paulo,SP,fashion,176.97,35.87,other,2017-08-16 22:58:04,2017-08-26 15:35:39,2017-09-05 12:00:00,2.0
28,5,17,28,curitiba,PR,technology,231.27,82.44,credit card,2018-04-27 23:54:06,2018-05-02 17:32:25,2018-05-14 12:00:00,3.5
29,8,10,29,sao paulo,SP,technology,820.05,133.37,credit card,2018-07-25 09:02:36,2018-07-30 10:49:54,2018-08-02 12:00:00,5.0
30,5,12,30,unknown,SP,toys,3.5,2.46,credit card,2017-03-20 21:35:37,2017-03-24 12:17:55,2017-04-10 12:00:00,1.5
31,11,1,31,sao paulo,SP,fashion,26.86,140.4,credit card,2018-03-27 17:27:57,2018-03-31 16:12:11,2018-04-09 12:00:00,1.0
32,0,1,32,unknown,SP,technology,475.0,50.28,other,2018-03-17 10:31:47,2018-03-28 17:03:47,2018-04-05 12:00:00,2.0
33,9,13,33,sao paulo,SP,health,31.77,23.6,credit card,2017-06-07 20:06:06,2017-06-16 18:25:40,2017-06-21 12:00:00,2.5
34,2,18,34,curitiba,PR,toys,188.8,22.11,credit card,2018-03-10 11:18:28,2018-03-16 20:27:34,2018-03-22 12:00:00,3.0
35,12,11,35,unknown,SP,health,125.46,13.81,other,2017-11-17 19:41:48,2017-12-02 18:38:16,2017-12-05 12:00:00,2.0
36,9,19,36,belo horizonte,MG,fashion,31.0,5.59,other,2017-11-27 13:49:33,2017-12-18 20:08:13,2017-12-21 12:00:00,2.0
37,7,10,37,unknown,SP,health,1332.5,6.58,credit card,2018-05-08 19:38:58,2018-05-14 20:36:55,2018-05-21 12:00:00,2.5
38,0,3,38,uberlandia,MG,fashion,161.0,47.55,credit card,2017-09-08 12:55:46,2017-09-15 21:55:41,2017-10-02 12:00:00,2.5
39,9,13,39,unknown,SP,health,770.0,67.11,credit card,2018-01-08 11:23:52,2018-01-18 20:58:50,2018-01-31 12:00:00,2.0
