;order;product;seller;customer;city;state;category;price;shipping;payment;purchased;delivered;estimated_delivery;rating
0;18;7;1;18;belo horizonte;mg;health;692.0;11.36;other;2017-03-07 19:19:19;2017-03-21 10:41:53;1900-01-01;4.0
1;134;9;13;134;unknown;sp;technology;97.07;13.25;credit card;2018-02-12 14:14:43;2018-02-16 10:22:35;1900-01-01;4.5
2;157;12;10;157;sao paulo;sp;health;95.03;39.84;credit card;2018-04-08 14:03:56;2018-04-10 20:34:41;1900-01-01;2.5
3;190;2;9;190;unknown;mg;sports;215.5;20.26;credit card;1900-01-01 00:00:00;2018-04-23 21:29:29;2018-05-02;2.0
4;204;2;18;204;porto alegre;rs;toys;41.58;38.7;other;2017-10-24 10:00:40;2017-11-11 11:28:57;1900-01-01;4.5
5;243;2;19;243;unknown;sp;toys;142.14;65.56;credit card;2018-08-10 19:29:13;2018-08-21 13:33:06;1900-01-01;2.5
6;292;6;15;292;unknown;sp;fashion;89.21;50.28;credit card;2018-06-07 13:58:13;2018-06-13 20:08:45;1900-01-01;1.0
7;302;6;12;302;unknown;rs;health;40.8;48.1;credit card;2017-07-11 22:27:14;2017-07-31 17:26:45;1900-01-01;1.0
8;452;6;3;452;unknown;valores em falta;technology;310.99;29.34;credit card;2018-02-02 12:26:58;2018-02-08 12:34:19;1900-01-01;3.0
9;470;9;19;470;unknown;rs;fashion;97.05;47.55;other;2018-01-20 14:24:50;2018-03-02 22:37:49;1900-01-01;1.0
10;503;8;1;503;unknown;mg;health;198.5;62.97;credit card;2017-11-15 18:06:40;2017-11-24 11:26:37;1900-01-01;3.5
11;507;13;7;507;unknown;sp;toys;109.82;13.59;other;2018-03-19 11:21:57;2018-03-22 21:50:54;2018-03-29;1.0
12;588;2;5;588;sao paulo;sp;toys;27.8;29.76;credit card;2017-11-30 16:08:28;2017-12-03 13:05:16;1900-01-01;1.0
13;709;1;10;709;unknown;rj;fashion;107.63;51.05;other;2018-05-18 11:00:26;2018-06-05 15:44:30;1900-01-01;3.5
14;932;12;1;932;sao paulo;sp;sports;92.5;28.79;credit card;1900-01-01 00:00:00;2018-03-19 23:42:04;1900-01-01;2.0
15;1003;1;5;1003;sao paulo;sp;health;156.3;32.34;credit card;2018-01-09 07:51:15;2018-01-17 16:33:01;1900-01-01;3.5
16;1129;8;3;1129;belo horizonte;mg;technology;399.2;20.9;credit card;2018-02-15 15:33:13;2018-03-05 22:51:50;2018-03-07;3.5
17;1190;11;5;1190;unknown;mg;fashion;159.99;62.6;other;2017-11-24 13:01:09;1900-01-01 00:00:00;2017-12-15;1.0
18;1212;6;21;1212;unknown;sp;fashion;106.74;46.71;credit card;2018-08-17 15:49:08;2018-08-18 16:58:50;1900-01-01;2.0
19;1225;13;10;1225;campinas;sp;sports;199.6;56.11;credit card;2017-08-02 09:49:20;2017-08-10 15:28:03;2017-08-22;3.5
20;1279;9;7;1279;rio de janeiro;rj;technology;150.82;36.04;credit card;2017-11-24 09:38:22;2017-12-12 18:41:55;1900-01-01;5.0
21;1351;6;3;1351;0;valores em falta;sports;167.0;89.73;credit card;2017-11-26 11:43:52;2017-12-01 17:38:44;2017-12-26;1.0
22;1506;12;10;1506;unknown;rs;health;68.0;6.87;credit card;2018-04-11 14:36:30;2018-04-24 10:21:59;1900-01-01;4.0
23;1514;13;7;1514;rio de janeiro;rj;health;58.1;41.84;credit card;2018-03-11 14:33:24;2018-03-29 19:58:29;1900-01-01;3.0
24;1594;13;21;1594;unknown;sp;toys;949.0;26.02;credit card;2017-11-24 12:58:53;2017-12-04 20:33:01;1900-01-01;2.0
25;1650;1;6;1650;unknown;sp;sports;42.89;32.34;credit card;2017-05-29 12:13:27;2017-05-31 10:49:57;1900-01-01;2.5
26;1659;0;1;1659;campinas;sp;fashion;99.35;46.87;credit card;2018-03-02 17:38:17;2018-04-05 19:58:53;1900-01-01;1.0
27;1696;2;5;1696;juiz de fora;mg;sports;282.0;14.68;credit card;2018-08-18 13:50:27;2018-08-29 17:42:00;1900-01-01;4.5
28;1718;9;0;1718;unknown;0;technology;1589.0;67.11;credit card;2017-12-24 15:40:09;2017-12-29 17:30:15;1900-01-01;3.0
29;1787;4;23;1787;nova iguacu;rj;sports;182.9;29.68;credit card;2017-07-28 12:16:33;2017-08-08 19:15:14;2017-08-23;5.0
30;1925;2;5;1925;rio de janeiro;rj;technology;712.9;45.86;credit card;2018-08-10 20:08:10;2018-08-17 02:35:39;1900-01-01;5.0
31;1934;15;3;1934;unknown;rj;sports;399.2;50.15;other;2018-06-26 08:14:39;2018-07-03 21:44:00;1900-01-01;3.5
32;1999;4;12;1999;sao paulo;sp;technology;399.2;30.66;credit card;2017-09-05 22:14:52;2017-09-11 13:27:49;1900-01-01;4.5
33;2080;13;10;2080;unknown;mg;technology;111.27;7.56;credit card;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01;2.0
34;2083;0;10;2083;sao paulo;sp;technology;782.25;30.74;credit card;2018-04-30 18:54:58;2018-05-12 16:59:01;1900-01-01;4.0
35;2084;4;3;2084;belo horizonte;mg;fashion;125.0;126.29;credit card;2018-04-06 11:37:12;2018-04-17 17:09:41;1900-01-01;1.5
36;2129;15;5;2129;sao paulo;sp;sports;73.02;69.22;credit card;2018-07-02 21:45:09;2018-07-10 17:51:24;1900-01-01;2.5
37;2134;16;5;2134;unknown;rs;sports;420.07;30.72;credit card;1900-01-01 00:00:00;2018-08-09 15:03:10;1900-01-01;4.5
38;2213;0;7;2213;sao paulo;sp;technology;148.5;2.63;other;2018-04-16 10:28:25;2018-04-18 13:28:32;1900-01-01;3.0
39;2221;9;10;2221;unknown;mg;technology;55.83;14.9;credit card;2017-01-31 16:13:48;2017-02-09 15:51:55;2017-03-03;2.0
