,order,purchased,delivered,shipping,estimated_delivery,product
0,23487.0,2018-03-10 23:29:10,2018-03-23 15:58:23,133.52,nan,6.0
1,11275.0,2018-01-19 13:39:35,2018-02-01 17:22:51,31.94,2018-02-15 12:00:00,7.0
2,28857.0,2018-06-11 08:33:53,2018-06-21 16:26:49,54.51,2018-06-29 12:00:00,0.0
3,45423.0,2017-09-05 08:03:15,2017-09-19 21:25:59,37.16,2017-10-16 12:00:00,3.0
4,42630.0,2017-05-10 13:17:10,2017-05-30 09:42:28,42.49 r$,2017-06-01 12:00:00,9.0
5,19246.0,2018-06-25 18:35:52,2018-06-29 17:48:55,7.27,2018-07-17,1.0
6,24194.0,2017-11-28 12:01:21,2017-12-04 15:55:00,124.54,2017-12-18 12:00:00,8.0
7,20846.0,2018-07-19 08:17:29,2018-07-26 19:05:33,47.5,2018-08-06,3.0
8,27914.0,2017-06-05 22:26:58,2017-06-13 06:18:03,61.25,2017-06-28 12:00:00,15.0
9,41447.0,2018-08-01 12:11:48,2018-08-07 16:59:49,7.54,2018-08-09 12:00:00,0.0
10,28466.0,nones,nones,valores em falta,no_info,15.0
11,44821.0,n/a,nones,valores em falta,n/a,3.0
12,40455.0,2017-09-13 22:55:58,no_info,20.51,n/a,1.0
13,37646.0,2018-07-26 22:42:46,2018-08-07 15:18:43,6.87,2018-08-14,2.0
14,61250.0,2017-09-07 17:11:45,2017-09-13 18:05:09,40.47,2017-09-28 12:00:00,4.0
15,38595.0,2018-07-14 00:41:01,2018-07-23 13:58:56,43.28,2018-07-26 12:00:00,9.0
16,12968.0,2017-09-10 16:05:31,2017-09-13 16:05:47,23.6,2017-09-21 12:00:00,4.0
17,36249.0,2017-11-05 17:00:19,2017-11-10 19:58:37,9.61,2017-12-04 12:00:00,1.0
18,4500.0,2018-08-06 21:40:05,2018-08-10 16:07:24,16.23,2018-08-13,13.0
19,51603.0,2017-01-25 19:11:42,2017-02-09 18:43:35,55.54,2017-02-20 12:00:00,17.0
20,25952.0,2017-11-24 21:24:29,2017-12-14 19:48:30,38.66 r$,2017-12-21,8.0
21,20815.0,2017-03-13 18:13:52,2017-03-16 06:12:06,44.73,2017-04-03 12:00:00,7.0
22,61463.0,2017-03-17 11:29:14,2017-03-28 14:17:07,78.84,2017-04-05 12:00:00,11.0
23,32516.0,2018-02-24 12:48:15,2018-03-12 18:36:43,38.98,2018-03-28,4.0
24,21522.0,2017-09-09 19:52:54,2017-09-13 20:17:41,47.55,2017-10-02 12:00:00,1.0
25,22812.0,2018-06-11 07:14:41,2018-06-18 22:52:05,61.53,2018-07-04 12:00:00,10.0
26,57475.0,2018-05-24 01:14:59,2018-06-08 17:55:30,3.83,2018-06-18 12:00:00,9.0
27,52637.0,2018-06-22 11:16:05,2018-07-03 21:38:50,27.77 REAL,2018-07-17 12:00:00,5.0
28,41115.0,2017-06-08 16:18:31,2017-06-19 15:08:55,18.01,2017-06-29,4.0
29,45911.0,2017-11-12 12:24:08,2017-11-21 18:28:42,18.72,2017-12-11 12:00:00,12.0
30,12212.0,2018-02-20 12:33:05,2018-03-02 01:48:25,3.84,2018-03-12,2.0
31,59276.0,2018-04-22 17:47:38,2018-04-26 15:42:10,38.63,2018-05-10 12:00:00,9.0
32,42465.0,2017-05-19 14:25:52,2017-05-29 15:32:39,83.1 r$,2017-06-12 12:00:00,4.0
33,47740.0,2018-03-23 17:02:20,2018-04-14 15:06:37,6.87,2018-04-13,9.0
34,38494.0,2018-02-06 18:21:30,2018-02-16 18:32:12,170.86,2018-03-13 12:00:00,6.0
35,51817.0,2018-07-28 21:37:46,2018-08-03 17:44:48,107.12,2018-08-07,9.0
36,50246.0,2018-07-28 10:35:24,2018-08-02 20:21:47,44.26,2018-08-10 12:00:00,3.0
37,20406.0,2018-05-15 02:12:21,2018-05-16 17:08:59,11.87 REAL,2018-05-25 12:00:00,1.0
38,24516.0,2017-03-20 23:51:25,2017-03-27 15:53:00,123.02,2017-04-10 12:00:00,2.0
39,7778.0,2018-07-29 18:18:15,2018-08-07 22:41:48,23.71,2018-08-14 12:00:00,1.0
40,61748.0,2018-05-18 18:00:59,2018-05-23 20:38:24,18.4,2018-05-28 12:00:00,9.0
41,57038.0,2018-04-25 23:17:16,2018-05-10 19:48:51,44.73,2018-05-18,10.0
42,48800.0,2017-03-03 16:49:00,2017-03-16 11:47:50,59.62,2017-03-24 12:00:00,5.0
43,24291.0,2018-03-19 10:21:46,2018-03-29 23:09:34,53.29,2018-04-19 12:00:00,1.0
44,31841.0,VALORES EM FALTA,VALORES EM FALTA,NAN,NO_INFO,2.0
45,31841.0,2017-06-14 18:52:29,2017-06-24 09:13:37,49.16,2017-07-07 12:00:00,2.0
46,42827.0,2018-06-01 23:00:45,2018-06-11 22:27:30,12.28,2018-07-04 12:00:00,12.0
47,58399.0,2018-03-20 17:31:43,2018-04-05 23:36:34,25.87,2018-04-09 12:00:00,11.0
48,40510.0,2018-08-07 21:31:29,2018-08-13 18:12:03,128.47,2018-08-17,14.0
49,55669.0,nan,nones,valores em falta,2018-07-25 12:00:00,0.0
50,16148.0,2018-04-13 21:50:49,2018-04-18 17:03:18,60.07,2018-05-07 12:00:00,15.0
51,55148.0,2018-04-08 13:04:47,2018-04-16 18:33:44,34.7,VALORES EM FALTA,4.0
52,50826.0,2017-09-02 12:03:14,2017-09-05 13:44:05,32.34,2017-09-15,1.0
53,15690.0,2018-08-18 18:37:46,2018-08-27 18:55:40,31.33,valores em falta,9.0
54,37267.0,2018-06-12 19:14:34,2018-06-14 19:21:55,34.33,2018-06-21 12:00:00,1.0
55,17393.0,2018-05-24 16:01:40,2018-06-11 20:18:19,56.66,2018-06-26,12.0
56,36812.0,2017-10-13 02:07:11,2017-10-16 18:03:57,6.08,2017-10-25 12:00:00,0.0
57,32347.0,2017-07-17 20:15:39,2017-07-26 03:13:31,2.75 REAIS,NONES,1.0
58,35418.0,2018-01-10 21:06:26,2018-01-27 14:37:48,126.47,2018-02-02 12:00:00,7.0
59,53111.0,2018-01-08 17:10:03,no_info,47.55,no_info,15.0
60,39356.0,2017-03-23 12:27:53,2017-03-29 13:47:17,70.34,n/a,3.0
61,56406.0,2018-06-06 18:37:14,2018-07-02 21:22:23,20.33 REAIS,2018-07-12 12:00:00,9.0
62,19585.0,2017-10-13 01:39:09,2017-10-24 13:00:02,163.52 real brasileiro,2017-11-01 12:00:00,4.0
63,25915.0,2017-10-27 13:49:56,2017-11-07 22:41:51,17.52,2017-11-16 12:00:00,1.0
64,2534.0,N/A,2017-11-24 15:48:41,49.93 REAIS,2017-12-06,3.0
65,51966.0,2018-01-12 18:17:00,2018-01-19 16:39:49,7.94,2018-01-29 12:00:00,9.0
66,17915.0,2018-05-18 11:47:27,2018-06-01 22:28:52,11.33,2018-06-21 12:00:00,9.0
67,33003.0,2018-05-01 14:14:10,2018-05-04 16:09:05,34.33,2018-05-21 12:00:00,6.0
68,27085.0,2017-05-17 20:31:55,2017-05-30 05:49:38,12.9,2017-06-21 12:00:00,0.0
69,54387.0,nan,2017-12-03 13:24:11,50.83,2017-12-15,6.0
70,55592.0,2017-08-12 17:53:24,2017-08-16 18:27:55,77.37,nan,5.0
71,32100.0,2018-07-09 08:54:35,2018-07-13 22:48:34,8.55,nones,9.0
72,21547.0,2017-05-24 13:17:55,2017-05-26 08:33:09,6.08,2017-06-12 12:00:00,4.0
73,20502.0,2018-06-14 18:05:57,2018-06-20 15:34:52,NONES,NAN,6.0
74,17807.0,2018-01-22 10:28:04,2018-02-01 21:48:25,125.66 r$,2018-02-19 12:00:00,6.0
75,57048.0,2018-05-13 23:59:36,2018-05-15 20:32:21,41.42 R$,2018-06-01,1.0
76,28726.0,2017-11-23 17:00:18,2017-12-13 18:06:54,47.55 r$,2017-12-18 12:00:00,1.0
77,4500.0,2018-08-06 21:40:05,2018-08-10 16:07:24,16.23,2018-08-13,13.0
78,50536.0,2017-05-31 19:07:38,2017-06-12 13:42:33,42.06 reais,2017-06-21,6.0
79,5507.0,2017-09-22 10:25:36,2017-10-02 10:43:08,31.47,2017-10-18 12:00:00,1.0
80,21365.0,2017-08-29 14:39:21,2017-09-05 21:47:56,43.52,2017-09-18 12:00:00,1.0
81,60292.0,2018-03-17 13:04:49,2018-03-29 20:22:44,14.59,2018-04-16 12:00:00,7.0
82,40065.0,2017-05-16 18:41:49,2017-05-30 15:08:56,NAN,2017-06-07 12:00:00,4.0
83,53723.0,2018-04-04 14:15:00,2018-04-13 18:58:43,72.67,2018-05-03 12:00:00,1.0
84,37267.0,n/a,valores em falta,valores em falta,n/a,1.0
85,50349.0,2017-04-03 13:57:14,2017-04-19 15:53:12,10.29,2017-05-04,1.0
86,3975.0,2018-03-07 15:28:38,2018-03-09 19:22:38,50.28,2018-03-23,4.0
87,49055.0,2018-04-25 11:42:05,2018-05-02 23:58:29,7.54,2018-05-17,4.0
88,22286.0,2018-04-06 16:47:38,no_info,47.55,no_info,0.0
89,2221.0,2017-01-31 16:13:48,2017-02-09 15:51:55,14.9,2017-03-03,9.0
90,47584.0,2017-03-25 15:33:43,VALORES EM FALTA,55.54,2017-04-17 12:00:00,0.0
91,45165.0,2017-05-04 14:20:34,2017-05-16 19:34:52,77.92,nan,4.0
92,44408.0,2018-04-05 15:24:37,2018-04-16 23:31:07,29.72,2018-05-08 12:00:00,2.0
93,29299.0,2018-07-04 15:15:27,2018-07-10 14:51:31,24.97,2018-07-25 12:00:00,0.0
94,19639.0,2018-04-06 19:54:30,2018-04-14 18:23:35,12.28,2018-05-02 12:00:00,4.0
95,11085.0,2018-07-07 16:24:14,2018-07-13 19:38:44,22.97,nones,8.0
96,1514.0,2018-03-11 14:33:24,2018-03-29 19:58:29,41.84,2018-04-12 12:00:00,13.0
97,35923.0,2017-04-03 19:20:39,2017-04-13 18:42:25,48.35,2017-05-04,1.0
98,17256.0,2018-04-08 19:09:35,2018-04-14 13:53:21,34.33,2018-04-24 12:00:00,9.0
99,22463.0,2017-09-25 21:38:16,2017-09-27 16:14:07,32.34,2017-10-10,13.0
100,11446.0,2018-05-15 17:42:46,2018-05-25 18:52:39,13.17,2018-05-30 12:00:00,8.0
101,28847.0,2018-04-29 18:34:00,2018-05-03 18:06:33,7.77,2018-05-17 12:00:00,8.0
102,11664.0,2017-08-07 09:32:28,2017-08-09 18:13:38,72.67,2017-08-18,6.0
103,32160.0,2018-02-14 17:51:11,2018-03-02 23:11:24,21.8,2018-03-23 12:00:00,14.0
