,city,payment,seller,estimated_delivery,state,rating,customer,order
0,campinas,credit card,2.0,2018-01-30,SP,4.5,27313.0,27313.0
1,UNKNOWN,OTHER,7.0,2017-04-17 12:00:00,SP,1.0,47584.0,47584.0
2,rio de janeiro,credit card,10.0,nones,RJ,5.0,42432.0,42432.0
3,unknown,credit card,4.0,2018-08-16 12:00:00,sp,n/a,47325.0,47325.0
4,SAO PAULO,CREDIT CARD,22.0,NAN,SP,4.0,20502.0,20502.0
5,sao paulo,credit card,1.0,2018-05-21,sp,2.0,37162.0,37162.0
6,unknown,credit card,22.0,2017-05-09 12:00:00,PR,4.0,53826.0,53826.0
7,UNKNOWN,CREDIT CARD,12.0,2017-04-20 12:00:00,SP,1.0,47483.0,47483.0
8,CAMPINAS,CREDIT CARD,1.0,2018-03-20 12:00:00,SP,1.0,1659.0,1659.0
9,GUARULHOS,CREDIT CARD,0.0,2017-11-30,SP,2.5,45226.0,45226.0
10,sao paulo,credit card,8.0,nan,sp,1.0,53243.0,53243.0
11,UNKNOWN,CREDIT CARD,5.0,NAN,RS,4.5,2134.0,2134.0
12,UNKNOWN,CREDIT CARD,22.0,2017-04-03 12:00:00,SP,4.5,20815.0,20815.0
13,unknown,credit card,5.0,2018-03-26,mg,3.5,6577.0,6577.0
14,unknown,credit card,15.0,2018-08-22 12:00:00,SP,2.5,58941.0,58941.0
15,sao paulo,credit card,7.0,2017-08-02,sp,2.0,19387.0,19387.0
16,UBERLANDIA,OTHER,0.0,2018-06-05,MG,2.5,44821.0,44821.0
17,UNKNOWN,CREDIT CARD,17.0,2018-04-19 12:00:00,SP,2.5,29633.0,29633.0
18,UNKNOWN,CREDIT CARD,10.0,2018-02-16,SP,2.5,56850.0,56850.0
19,sao paulo,other,17.0,2018-08-10 12:00:00,sp,1.0,54061.0,54061.0
20,UBERABA,CREDIT CARD,23.0,2017-12-19 12:00:00,MG,2.5,27907.0,27907.0
21,n/a,credit card,22.0,2018-04-11,sp,nan,36089.0,36089.0
22,no_info,nones,8.0,nan,valores em falta,1.5,13542.0,13542.0
23,JUIZ DE FORA,CREDIT CARD,7.0,2017-08-29,MG,3.0,49863.0,49863.0
24,unknown,credit card,12.0,2018-03-21 12:00:00,sp,3.5,45431.0,45431.0
25,campinas,credit card,8.0,2017-08-08 12:00:00,sp,3.0,51687.0,51687.0
26,no_info,nones,7.0,nan,MG,no_info,5372.0,5372.0
27,RIO DE JANEIRO,OTHER,16.0,VALORES EM FALTA,RJ,1.0,35321.0,35321.0
28,VALORES EM FALTA,NONES,21.0,NONES,VALORES EM FALTA,2.0,52146.0,52146.0
29,unknown,credit card,21.0,2018-08-16 12:00:00,SP,3.0,12301.0,12301.0
30,unknown,credit card,13.0,2018-07-05,MG,2.0,61616.0,61616.0
31,unknown,other,6.0,2018-04-17 12:00:00,SP,1.0,17047.0,17047.0
32,NOVA IGUACU,N/A,5.0,N/A,RJ,2.5,6777.0,6777.0
33,nova iguacu,other,1.0,2018-03-12 12:00:00,rj,4.5,37227.0,37227.0
34,unknown,credit card,22.0,nan,sp,4.0,30683.0,30683.0
35,sao paulo,other,7.0,nan,SP,3.0,2213.0,2213.0
36,rio de janeiro,credit card,0.0,no_info,RJ,1.0,7682.0,7682.0
37,SAO PAULO,CREDIT CARD,5.0,2018-01-26 12:00:00,SP,3.5,1003.0,1003.0
38,rio de janeiro,other,10.0,2018-04-10,RJ,3.5,5726.0,5726.0
39,sao paulo,n/a,23.0,2018-05-03 12:00:00,nan,nan,53723.0,53723.0
40,unknown,credit card,9.0,2018-05-03 12:00:00,sp,4.5,19001.0,19001.0
41,SAO PAULO,CREDIT CARD,4.0,2018-09-05 12:00:00,SP,1.0,56295.0,56295.0
42,rio de janeiro,other,3.0,2018-07-26 12:00:00,rj,1.0,30566.0,30566.0
43,belo horizonte,other,20.0,2018-08-14 12:00:00,mg,1.0,56596.0,56596.0
44,BELO HORIZONTE,CREDIT CARD,20.0,2018-07-25 12:00:00,MG,2.5,7460.0,7460.0
