,precio,shipping,product,customer,category,seller,order
0,232.99,86.85,5.0,31453.0,toys,21.0,31453.0
1,383.5,2.94,5.0,55708.0,technology,10.0,55708.0
2,386.75,114.9,6.0,44462.0,health,5.0,44462.0
3,692.0,46.76,8.0,19010.0,technology,2.0,19010.0
4,68.0,6.87,5.0,26541.0,toys,12.0,26541.0
5,111.27,49.72,12.0,52042.0,health,16.0,52042.0
6,389.89,5.24 real,1.0,60786.0,technology,12.0,60786.0
7,453.7,12.28,4.0,19639.0,health,4.0,19639.0
8,74.65,6.15 real,0.0,12554.0,technology,11.0,12554.0
9,247.99,31.33,9.0,15690.0,health,6.0,15690.0
10,261.0 R$,82.44,2.0,2840.0,TECHNOLOGY,1.0,2840.0
11,1899.0,20.9,2.0,45831.0,toys,9.0,45831.0
12,no_info,no_info,0.0,15880.0,no_info,0.0,15880.0
13,959.99,14.65 REAL BRASILEIRO,6.0,14773.0,SPORTS,15.0,14773.0
14,155.4,92.85,5.0,58506.0,technology,13.0,58506.0
15,109.82,25.87,11.0,58399.0,fashion,13.0,58399.0
16,59.49,10.98,3.0,39378.0,TECHNOLOGY,2.0,39378.0
17,17.68,10.31,9.0,27907.0,FASHION,23.0,27907.0
18,145.99,22.0,6.0,9301.0,fashion,9.0,9301.0
19,54.6,82.44,1.0,11277.0,toys,13.0,11277.0
20,102.28,42.49 r$,9.0,42630.0,health,12.0,42630.0
21,820.05,5.59,6.0,50923.0,fashion,6.0,50923.0
22,309.9,NONES,1.0,60620.0,FASHION,10.0,60620.0
23,52.9,24.11,1.0,43044.0,toys,20.0,43044.0
24,509.99,12.9,0.0,27085.0,toys,10.0,27085.0
25,820.05,5.59 reais,10.0,54240.0,fashion,15.0,54240.0
26,399.2,20.9,6.0,13818.0,HEALTH,21.0,13818.0
27,518.18,67.11,4.0,44518.0,sports,7.0,44518.0
28,91.33,44.68,11.0,9816.0,fashion,5.0,9816.0
29,345.6,60.07,15.0,16148.0,sports,17.0,16148.0
30,no_info,no_info,8.0,11446.0,nan,17.0,11446.0
31,nan,n/a,0.0,42255.0,nan,12.0,42255.0
32,18.04,42.05,0.0,3232.0,fashion,14.0,3232.0
33,42.89,30.66,2.0,48027.0,technology,22.0,48027.0
34,no_info,n/a,1.0,5108.0,technology,10.0,5108.0
35,41.58,38.7,2.0,204.0,TOYS,18.0,204.0
36,109.82,25.87,7.0,31899.0,fashion,9.0,31899.0
37,nan,49.91,4.0,17659.0,fashion,20.0,17659.0
38,335.99,63.2,4.0,45525.0,technology,8.0,45525.0
39,116.6,31.47,1.0,5507.0,health,8.0,5507.0
40,215.94,30.66,13.0,21850.0,health,12.0,21850.0
41,95.03 reais,89.36,17.0,54428.0,toys,9.0,54428.0
42,159.9,22.39,9.0,3814.0,toys,3.0,3814.0
43,NO_INFO,N/A,0.0,40768.0,NAN,1.0,40768.0
44,89.81,55.54,17.0,51603.0,toys,11.0,51603.0
45,8.8,34.33,2.0,29269.0,health,24.0,29269.0
46,18.1,64.41,2.0,7682.0,health,0.0,7682.0
47,36.5,30.66,0.0,23323.0,toys,17.0,23323.0
48,346.99,35.61,12.0,30823.0,n/a,17.0,30823.0
49,nones,n/a,9.0,17915.0,sports,12.0,17915.0
50,178.99,42.02,5.0,37622.0,toys,9.0,37622.0
51,357.0,57.73,11.0,14886.0,FASHION,3.0,14886.0
52,18.04,75.76,6.0,56596.0,fashion,20.0,56596.0
53,48.99,21.98,13.0,29335.0,sports,5.0,29335.0
54,58.99,12.86,0.0,11874.0,SPORTS,3.0,11874.0
55,59.21,47.55,8.0,16230.0,toys,22.0,16230.0
56,156.3,32.34,1.0,1003.0,HEALTH,5.0,1003.0
57,125.46,45.0,0.0,13435.0,n/a,22.0,13435.0
58,104.4,126.47,7.0,35418.0,fashion,1.0,35418.0
59,49.99,154.56,12.0,56937.0,toys,10.0,56937.0
60,378.98,23.6,2.0,54025.0,technology,1.0,54025.0
61,161.0,35.07,13.0,29571.0,toys,10.0,29571.0
62,849.5 real,71.02,12.0,57891.0,health,1.0,57891.0
63,481.0,29.51 Reais,4.0,16271.0,fashion,17.0,16271.0
