id,rut,nombre,registro,comuna,capital
4872744,77877774-6,Orrego Luco Restaurante SpA,2024-01-01,PROVIDENCIA,2000000
4855729,77877734-7,El Bardo SpA,2024-01-01,PROVIDENCIA,1000000
4872500,77877738-K,GRUPO COBALTO SPA,2024-01-01,PROVIDENCIA,100000000
4870876,77877818-1,SERVICIOS DE SALUD SEBASTIAN PONCE SpA,2024-01-02,PROVIDENCIA,100000
4872223,77878316-9,PULSO CREATIVO SERVICIOS INTEGRALES SPA,2024-01-02,PROVIDENCIA,800000
4864051,77878019-4,Grupo Las Lilas SpA,2024-01-02,PROVIDENCIA,1000000
4874181,77878155-7,INVERSI\323N CORAZ\323N DE PLATA SPA,2024-01-02,PROVIDENCIA,5000000
4874446,77878208-1,STARBYTE SPA,2024-01-02,PROVIDENCIA,15000000
4862790,77878255-3,MATERIALES HERRERA SPA,2024-01-02,PROVIDENCIA,3000000
4787858,77878323-1,HC CV SpA,2024-01-02,PROVIDENCIA,700000
4873764,77878177-8,MVD COMPETICION SpA,2024-01-02,PROVIDENCIA,3000000
4786393,77877881-5,Tiaglow SpA,2024-01-02,PROVIDENCIA,1000000
4849553,77877976-5,Sociedad MyB SpA,2024-01-02,PROVIDENCIA,2000000
4857194,77878171-9,SERVICIOS PELLAIFA SpA,2024-01-02,PROVIDENCIA,1000000
4861467,77878024-0,CONSTRUCTORA E INMOBILIARIA ALTO MAIPO SPA,2024-01-02,PROVIDENCIA,1000000
4874791,77878312-6,C\301CERES Y C\301CERES LIMITADA,2024-01-02,PROVIDENCIA,1000000
4872640,77877827-0,Comercializadora Franco Andr\351s Villanueva Jara E.I.R.L.,2024-01-02,PROVIDENCIA,1000000
4873126,77877934-K,Gonzalo Vargas Financial Services Spa,2024-01-02,PROVIDENCIA,100000
4873735,77878119-0,JARRIN SERVICIOS ODONTOLOGICOS SpA,2024-01-02,PROVIDENCIA,1000000
4872709,77877797-5,Transportes REVAL SpA,2024-01-02,PROVIDENCIA,1000000
4823949,77878064-K,IMPORTADORA Y COMERCIALIZADORA KIMCY SpA,2024-01-02,PROVIDENCIA,4000000
4873942,77878186-7,Fit Learning Chile SpA,2024-01-02,PROVIDENCIA,500000
4835692,77877894-7,EXTENSIONES CABELLO AV SpA,2024-01-02,PROVIDENCIA,1000000
4870072,77878161-1,INGENIERIA Y SERVICIOS DE ELECTRONICA Y CLIMATIZACI\323N SpA,2024-01-02,PROVIDENCIA,2000000
4859014,77877812-2,Gestion Sanitaria SpA,2024-01-02,PROVIDENCIA,2000000
4868094,77877946-3,SERVICIOS Y PRODUCTOS CANTANDO APRENDO A HABLAR LIMITADA,2024-01-02,PROVIDENCIA,1000000
4874086,77878305-3,GREEN SOS  SPA,2024-01-02,PROVIDENCIA,2000000
4872775,77877784-3,SATUS SpA,2024-01-02,PROVIDENCIA,2000000
4846896,77878331-2,Agencia Estrat\351gica M\341s Uno Limitada,2024-01-02,PROVIDENCIA,1000000
4873604,77878121-2,Sociedad AMCIA Spa,2024-01-02,PROVIDENCIA,2000000
